budget,runtime,vote_average,vote_count,popularity,release_year,release_month,primary_genre,lead_actor,director,production_company,release_season,budget_per_minute,vote_weighted_score,budget_log,popularity_log,revenue,roi
52000000,140.0,7.3,1637.0,18.761467,1995,6,Drama,Tom Hanks,Ron Howard,Imagine Entertainment,Summer,371428.5714285714,54.028988230215006,17.76675429577647,2.9837339304546915,355237933.0,5.831498711538462
28000000,139.0,6.5,151.0,10.193549,1995,4,Adventure,Liam Neeson,Michael Caton-Jones,United Artists,Spring,201438.8489208633,32.6552233855008,17.147715103853763,2.415337630216755,31596911.0,0.12846110714285713
100000000,121.0,5.2,1529.0,13.321354,1995,6,Action,Val Kilmer,Joel Schumacher,Warner Bros.,Summer,826446.2809917355,38.1317196748097,18.420680753952364,2.661751710135265,336529144.0,2.36529144
2000000,83.0,6.8,28.0,11.528147,1995,9,Comedy,Harvey Keitel,Paul Auster,Miramax Films,Fall,24096.385542168675,22.897611643908025,14.508658238524095,2.527977872896083,1275000.0,-0.3625
11000000,91.0,5.9,57.0,5.391556,1995,6,Action,John Candy,Michael Moore,PolyGram Filmed Entertainment,Summer,120879.12087912088,23.956613762223874,16.213405921671733,1.8549777442241049,178104.0,-0.9838087272727273
50000000,100.0,6.0,1045.0,12.812539,1995,5,Fantasy,Christina Ricci,Brad Silberling,Universal Pictures,Spring,500000.0,41.71637186774921,17.72753358339242,2.6255768028033972,287928194.0,4.75856388
25000000,128.0,6.8,69.0,4.558992,1995,9,Mystery,Harvey Keitel,Spike Lee,Universal Pictures,Fall,195312.5,28.889767645935642,17.034386422832473,1.7154167968625438,13071518.0,-0.47713928
50000000,109.0,5.0,214.0,7.260574,1995,6,Action,Laura Linney,Frank Marshall,Paramount Pictures,Summer,458715.59633027524,26.85319014063831,17.72753358339242,2.1114940766438863,152022101.0,2.04044202
53000000,116.0,7.0,508.0,8.657365,1995,5,Action,Denzel Washington,Tony Scott,Hollywood Pictures,Spring,456896.5517241379,43.62713611585366,17.78580249038432,2.267720836687621,157387195.0,1.9695697169811321
7000000,104.0,6.8,898.0,6.950458,1995,8,Thriller,Antonio Banderas,Robert Rodriguez,Columbia Pictures,Summer,67307.69230769231,46.24872463440701,15.76142084987672,2.0732295370697376,25405445.0,2.6293492857142855
27000000,102.0,6.3,88.0,4.646132,1995,9,Drama,Denzel Washington,Carl Franklin,TriStar Pictures,Fall,264705.8823529412,28.27840912931248,17.11134746100564,1.7309707089416384,16140822.0,-0.40219177777777776
90000000,128.0,6.9,2094.0,15.138855,1995,5,Action,Bruce Willis,John McTiernan,Twentieth Century Fox Film Corporation,Spring,703125.0,52.766430943258044,18.31532023940565,2.7812297185657138,366101666.0,3.067796288888889
55000000,134.0,5.9,319.0,15.178338,1995,7,Action,Sean Connery,Jerry Zucker,Columbia Pictures Corporation,Summer,410447.7611940298,34.033093875183255,17.822843761378564,2.783673186947671,127600435.0,1.3200079090909091
20000000,107.0,6.2,406.0,14.810519,1995,9,Action,Jonny Lee Miller,Iain Softley,United Artists,Fall,186915.8878504673,37.25464174974409,16.811242881518265,2.760675478007054,7563728.0,-0.6218136
25000000,97.0,5.5,380.0,11.715868,1995,5,Adventure,Keanu Reeves,Robert Longo,TriStar Pictures,Spring,257731.95876288658,32.68539656319685,17.034386422832473,2.54285066237184,19075720.0,-0.2369712
90000000,96.0,5.4,643.0,8.184815,1995,6,Science Fiction,Sylvester Stallone,Danny Cannon,Hollywood Pictures,Summer,937500.0,34.92557312096351,18.31532023940565,2.217551576929134,113493481.0,0.2610386777777778
1500000,91.0,6.8,280.0,4.877872,1995,7,Drama,Leo Fitzpatrick,Larry Clark,Miramax Films,Summer,16483.516483516483,38.34081175146947,14.220976332738882,1.771194791645298,7412216.0,3.9414773333333333
500000,89.0,7.2,64.0,10.058329,1995,1,Drama,Steve Buscemi,Tom DiCillo,JDI productions,Winter,5617.9775280898875,30.055588343248587,13.122365377402328,2.4031838996887434,1148752.0,1.297504
6000000,94.0,6.8,400.0,8.25547,1995,10,Romance,Jason Lee,Kevin Smith,Universal Pictures,Fall,63829.78723404255,40.75893770568467,15.607270193858982,2.2252147280963754,2122561.0,-0.6462398333333333
15000000,92.0,5.2,153.0,7.024227,1995,6,Action,Amy Jo Johnson,Bryan Spicer,Twentieth Century Fox Film Corporation,Summer,163043.47826086957,26.192153532550876,16.52356082573315,2.0824653403890876,66000000.0,3.4
2,95.0,6.4,36.0,2.466066,1995,9,Thriller,Marina Zudina,Anthony Waller,Comet Film Produktion GmbH,Fall,0.021052631578947368,23.10987464092304,1.0986122886681098,1.2430202332356006,1.0,-0.5
22000000,114.0,5.6,359.0,13.304342,1995,7,Crime,Sandra Bullock,Irwin Winkler,Columbia Pictures,Summer,192982.45614035087,32.962182576120874,16.906553056777135,2.6605631275413066,110627965.0,4.028543863636363
